id,suburb,beds/baths,actual_price,ml_pred,llm_pred,human_pred,ml_abs_err,llm_abs_err,human_abs_err,ml_pct_err,llm_pct_err,human_pct_err
45,Parramatta,3bd/1ba,1610000,1312671.6382594954,1500000,1526953.3199999998,297328.3617405046,110000,83046.68000000017,18.5,6.8,5.2
48,Parramatta,3bd/1ba,1555000,1397656.5468700728,1450000,1526953.3199999998,157343.45312992716,105000,28046.680000000168,10.1,6.8,1.8
5,Mosman,3bd/2ba,2900000,3794014.603822103,2750000,4135065.01875,894014.6038221028,150000,1235065.0187499998,30.8,5.2,42.6
56,Parramatta,5bd/3ba,2125000,1660002.6631108895,1950000,1969752.5199999996,464997.3368891105,175000,155247.48000000045,21.9,8.2,7.3
27,Mosman,4bd/2ba,6400000,4915909.7091797115,5800000,4495419.26875,1484090.2908202885,600000,1904580.7312500002,23.2,9.4,29.8
65,Parramatta,3bd/2ba,1660000,1705134.8557980908,1500000,1606898.5199999998,45134.85579809081,160000,53101.480000000214,2.7,9.6,3.2
74,Parramatta,3bd/2ba,1700000,2088728.9479871981,1650000,1606898.5199999998,388728.94798719813,50000,93101.48000000021,22.9,2.9,5.5
11,Mosman,5bd/4ba,6399000,7517195.881118885,6200000,5350629.41875,1118195.8811188852,199000,1048370.5812499998,17.5,3.1,16.4
41,Parramatta,4bd/1ba,2080000,1572293.0891821254,1950000,1654999.72,507706.9108178746,130000,425000.28,24.4,6.2,20.4
108,Campbelltown,3bd/1ba,1110500,992690.429549046,950000,913725.0,117809.57045095402,160500,196775.0,10.6,14.5,17.7
